created_at,full_text,label
2025-05-18 05:38:30+00:00,"['27', 'tahun', 'setelah', 'mahasiswa', 'nembus', 'gedung', 'dpr', 'ruu', 'tni', 'kontroversial', 'sudah', 'sah', 'banyak', 'aktivis', '98', 'yang', 'sekarang', 'pro', 'rezim', 'kkn', 'masih', 'banyak', 'banget', 'mahasiswa', 'ditangkep', 'pers', 'diteror', 'dan', 'ofc', 'mantu', 'soeharto', 'penjahat', 'ham', 'jadi', 'presiden', 'kita', 'bangsa', 'yang', 'besar', 'gapernah', 'belajar', 'dari', 'kesalahan', 'sendiri']",negatif
2025-05-15 23:26:58+00:00,"['ini', 'rawan', 'jadi', 'sah', 'ni', 'barang', 'padahal', 'cuma', 'fotokopi', 'cok', 'beda', 'klaim', 'kasih', 'ijazah', 'asli', 'ke', 'bareskim', 'naikin', 'lalu', 'tagarnya', 'di', 'komunitas', 'dan', 'diluar', 'lawan', 'seperti', 'demo', 'ruu', 'tni', 'di', '90', 'kota', 'kemarin', 'tolakpuslabforujiforensik', 'rakyattidakpercayapuslabfor', 'dukungugmlaporkanjokowi']",negatif
2025-05-14 10:20:53+00:00,"['heran', 'juga', 'mengapa', 'ruu', 'tni', 'tiba2', 'masuk', 'dalam', 'prolegnas', 'tanpa', 'melalui', 'agenda', 'rapat', 'paripurna', 'yang', 'sah', 'padahal', 'setiap', 'perubahan', 'dalam', 'prolegnas', 'hrs', 'dibahas', 'scra', 'transparan', 'dalam', 'rapat', 'paripurna', 'dan', 'mendapatkan', 'persetujuan', 'berdasarkan', 'musyawarah', 'bukan', 'keputusan', 'sepihak']",negatif
2025-05-13 06:52:53+00:00,"['secara', 'awam', 'cocok', 'dengan', 'pendapat', 'ini', 'kok', 'tidak', 'lihat', 'urgensinya', 'apa', 'smp', 'tni', 'terlibat', 'pengamanan', 'kejaksaan', 'kecuali', 'militerisme', 'di', 'institusi', 'sipil', 'gara2', 'uu', 'tni', 'sah', 'lalu', 'ntar', 'ruu', 'kejaksaan', 'sekalian', 'disahkan', 'songong', 'berjamaah', 'tuh']",negatif
2025-05-13 00:23:27+00:00,"['itu', 'dari', 'zaman', 'dahulu', 'orang²', 'itu', 'dikritik', 'dikasi', 'saran', 'sama', 'para', 'pendemo', 'malah', 'pada', 'tutup', 'telinga', 'ya', 'pantekk', 'itu', 'buktinya', 'ruu', 'tni', 'tbtb', 'sah', 'aja']",negatif
2025-05-11 06:41:19+00:00,"['inilah', 'hsil', 'dr', 'ruu', 'tni', 'yang', 'di', 'sah', 'kan', 'kemaren', 'sekarang', 'menikmati', 'hsilnya', 'mau', 'suka', 'tidak', 'suka', 'mereka', 'tidak', 'peduli', 'apalagi', 'sekarang', 'ada', 'rencana', 'uji', 'coba', 'vaksi', 'tbc', 'si', 'bill', 'gates', 'pasti', 'aparat', 'akan', 'turun', 'tangan', 'memaksa', 'rakyat', 'agar', 'mau', 'di', 'jd', 'kèlinci', 'percobaàn', 'si', 'bill', 'gates']",negatif
2025-05-11 03:36:58+00:00,"['andai', 'saja', 'ruu', 'tni', 'tidak', 'di', 'sah', 'kan', 'se', 'enak', 'jidat', 'dan', 'gada', 'tni', 'yang', 'sok', 'keren', 'koar2', 'di', 'sosmed', 'yang', 'kayak2', 'gini', 'warga', '62', 'tidak', 'akan', 'pernah', 'ributin', 'anggaran', 'yang', 'mreka', 'pakai', 'apalgi', 'di', 'spil2', 'kyak', 'gini']",negatif
2025-05-11 03:02:25+00:00,"['bener', 'kaya', 'pas', 'ruu', 'tni', 'anjg', 'udah', 'jelas', 'jelas', 'demo', 'beraksi', 'menyuarakan', 'pendapat', 'kalau', 'kita', 'sebagai', 'rakyat', 'gasetuju', 'ending', 'nya', 'tetep', 'aja', 'tuh', 'undang', 'undang', 'di', 'sah', 'kan', 'sampai', 'sekarang', 'tetap', 'dijalanin', 'aja', 'yang', 'didapat', 'para', 'aksi', 'dikasarin', 'dipukulin', 'diculik', 'watdefuck']",negatif
2025-05-10 19:10:55+00:00,"['udah', 'berapa', 'kali', 'kritik', 'dengan', 'kebijakan', 'kalo', 'beneran', 'di', 'dengar', 'kemarin', 'gak', 'akan', 'ada', 'demo', 'ruu', 'tni', 'atau', 'malah', 'ruu', 'perampasan', 'aset', 'udah', 'jadi', 'dan', 'sah']",negatif
2025-05-07 13:35:45+00:00,"['2008', 'ke', '2025', 'sudah', '17', 'tahun', 'sejak', 'ruu', 'ini', 'dibahas', 'tapi', 'sampai', 'sekarang', 'belum', 'sah', 'aja', 'ini', 'uu', 'takutlah', 'sahkan', 'secara', 'pelakunya', 'mereka', 'giliran', 'ubah', 'atura', 'di', 'mk', 'ruu', 'tni', 'otw', 'ruu', 'polri', 'dll', 'satset', 'satset', 'tidak', 'nunggu', 'lama', 'beda', 'ya', 'klau', 'untuk', 'kepentingan', 'pribadi', 'dan', 'rakyat']",negatif
